Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
03/01/2026,AMZN,31.946404,28.871672,0.9037534240160489,11.46%,61.115714637246846,,,
03/01/2026,ASML,40.820065,37.842888,0.927065843721709,11.45%,137.40399566656015,,,
03/01/2026,NVDA,46.745052,24.959162,0.5339423304096442,27.73%,2381.7541895628974,,,
03/01/2026,GOOG,31.158104,28.164812,0.9039321519691955,12.84%,75.64784386378284,,,
03/01/2026,BKNG,34.602184,20.057842,0.5796698266213486,8.76%,33.44332727026749,,,
03/01/2026,NEM.DE,51.016953,37.08678,0.7269501179343266,,54.19738367961954,,,
03/01/2026,CRM,33.906418,19.333076,0.5701892780298997,9.59%,23.463897222361474,,,
03/01/2026,INTU,43.29161,23.845776,0.5508174909641845,12.78%,62.138498221119754,,,
03/01/2026,MA,35.95977,29.464735,0.8193805188409159,12.26%,53.07554145114316,,,
03/01/2026,MSFT,33.66121,25.23372,0.7496379363665181,15.29%,88.56313930632047,,,
03/01/2026,SPGI,37.311497,25.852812,0.6928913090782715,7.49%,49.456761336850015,,,
03/01/2026,V,34.001965,24.018478,0.7063849986316968,,39.092081674728,,,
